id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
149,2001,74,5084,5131,23867,12564,11303,4672,2448,2224,375,194,181,13348,8119,5229,10519,4445,6074
150,2001,75,3890,3920,19181,9970,9211,3319,1699,1620,163,92,71,11735,6848,4887,7446,3122,4324
151,2001,76,3219,3372,16349,8693,7656,3985,2081,1904,186,122,64,10700,6349,4351,5649,2344,3305
152,2001,77,4305,4356,20274,10531,9743,5385,2841,2544,365,204,161,13631,7632,5999,6643,2899,3744
153,2001,78,3689,3736,18602,9902,8700,6468,3327,3141,440,252,188,10591,6542,4049,8011,3360,4651
154,2001,79,3629,3662,19320,10085,9235,3044,1586,1458,722,375,347,12717,7381,5336,6603,2704,3899
155,2001,80,4145,4148,20596,10630,9966,6192,3169,3023,113,57,56,10492,6263,4229,10104,4367,5737
156,2001,81,2858,2926,15396,7971,7425,2290,1160,1130,89,53,36,10592,6000,4592,4804,1971,2833
157,2001,82,5318,5767,27545,15058,12487,6804,3455,3349,307,159,148,17615,10781,6834,9930,4277,5653
158,2001,83,9947,10078,45894,23837,22057,9772,5046,4726,523,274,249,31107,17595,13512,14787,6242,8545
159,2001,84,3810,3825,23218,12290,10928,6540,3499,3041,239,146,93,15022,8832,6190,8196,3458,4738
160,2001,85,4815,4839,26551,14856,11695,5786,3011,2775,402,212,190,17433,10618,6815,9118,4238,4880
161,2011,1,5500,5510,22980,12076,10904,4250,2188,2062,282,139,143,17142,9509,7633,5838,2567,3271
162,2011,2,3835,3845,18220,9783,8437,1842,997,845,511,264,247,15072,8453,6619,3148,1330,1818
163,2011,3,3539,3549,16500,8421,8079,3058,1565,1493,175,97,78,13528,7229,6299,2972,1192,1780
164,2011,4,3399,3409,16266,8189,8077,2912,1439,1473,330,167,163,12609,6877,5732,3657,1312,2345
165,2011,5,739,749,3081,1628,1453,365,198,167,44,22,22,2100,1179,921,981,449,532
166,2011,6,2723,2733,10722,5904,4818,550,274,276,77,41,36,8687,4985,3702,2035,919,1116
167,2011,7,1803,1813,9216,4665,4551,1817,935,882,94,48,46,6776,3696,3080,2440,969,1471
168,2011,8,2853,2863,13127,6871,6256,2848,1445,1403,118,59,59,10311,5786,4525,2816,1085,1731
169,2011,9,4320,4330,19315,9820,9495,2722,1376,1346,228,119,109,13765,7497,6268,5550,2323,3227
170,2011,10,2588,2598,15326,7826,7500,3273,1663,1610,270,136,134,11406,6132,5274,3920,1694,2226
171,2011,11,4425,4435,21572,12213,9359,4173,2154,2019,259,142,117,16869,10260,6609,4703,1953,2750
172,2011,12,4204,4214,19022,9706,9316,2182,1078,1104,217,101,116,15889,8433,7456,3133,1273,1860
173,2011,13,4069,4079,22280,13090,9190,3609,1848,1761,242,141,101,15764,9450,6314,6516,3640,2876
174,2011,14,4999,5009,21941,11437,10504,4910,2492,2418,134,81,53,15086,8444,6642,6855,2993,3862
175,2011,15,2752,2762,11784,6300,5484,648,320,328,53,30,23,9684,5334,4350,2100,966,1134
176,2011,16,3405,3415,15474,8023,7451,2781,1423,1358,161,97,64,11307,6244,5063,4167,1779,2388
177,2011,17,3067,3077,14164,7347,6817,1562,782,780,104,56,48,10548,5850,4698,3616,1497,2119
178,2011,18,3631,3641,17164,8959,8205,2311,1190,1121,41,24,17,12435,7032,5403,4729,1927,2802
179,2011,19,4478,4488,21478,11332,10146,4704,2415,2289,158,86,72,14921,8625,6296,6557,2707,3850
180,2011,20,4946,4956,21845,11411,10434,3132,1645,1487,277,150,127,16309,9106,7203,5536,2305,3231
181,2011,21,4541,4551,20580,10625,9955,2046,1062,984,82,42,40,15807,8612,7195,4773,2013,2760
182,2011,22,4747,4757,21877,11477,10400,3060,1570,1490,300,157,143,14189,8288,5901,7688,3189,4499
183,2011,23,4227,4237,20007,10223,9784,6202,3186,3016,98,43,55,12747,7185,5562,7260,3038,4222
184,2011,24,3568,3578,16304,8517,7787,1686,856,830,356,184,172,13426,7283,6143,2878,1234,1644
185,2011,25,4786,4796,21087,10934,10153,1681,871,810,202,108,94,16843,9034,7809,4244,1900,2344
186,2011,26,6860,6870,28953,14742,14211,3588,1798,1790,89,46,43,22109,11749,10360,6844,2993,3851
